,底本/出典,史料名,ID,記述内容,記述場所,,発生場所,年月日（作成）,年月日（作成）2,年月日（被害）,年月日（被害）3,伝聞・体験,被害種別,緯度経度,X,Y,座標レベル,座標に関する備考,備考
28,日本地震史料,〔聞集錄〕,J0400163,南東は三輪邊迄、西南は郡山、小泉法隆寺邊迄、西は峠迄、東は伊賀上野邊迄、此邊は尚更嚴敷と申事に御座候。,,,三輪,,,嘉永7年6月15日,1854年7月9日,,地震動,"34.52982118400591, 135.85319046485057",,,３,大神神社を置く,
29,日本地震史料,〔聞集錄〕,J0400163,南東は三輪邊迄、西南は郡山、小泉法隆寺邊迄、西は峠迄、東は伊賀上野邊迄、此邊は尚更嚴敷と申事に御座候。,,,郡山,,,嘉永7年6月15日,1854年7月9日,,全般,"34.64950518219235, 135.78285167566096",,,２,便宜的に大和郡山市役所に置く,
30,日本地震史料,〔聞集錄〕,J0400163,南東は三輪邊迄、西南は郡山、小泉法隆寺邊迄、西は峠迄、東は伊賀上野邊迄、此邊は尚更嚴敷と申事に御座候。,,,法隆寺,,,嘉永7年6月15日,1854年7月9日,,全般,"34.61426198704461, 135.7356718759033",,,３,,
31,日本地震史料,〔聞集錄〕,J0400163,南東は三輪邊迄、西南は郡山、小泉法隆寺邊迄、西は峠迄、東は伊賀上野邊迄、此邊は尚更嚴敷と申事に御座候。,,,峠？,,,嘉永7年6月15日,1854年7月9日,,全般,,,,,,
32,日本地震史料,〔聞集錄〕,J0400163,南東は三輪邊迄、西南は郡山、小泉法隆寺邊迄、西は峠迄、東は伊賀上野邊迄、此邊は尚更嚴敷と申事に御座候。,,,伊賀上野,,,嘉永7年6月15日,1854年7月9日,,全般,"34.76894001956499, 136.12991074387278",,,２,便宜的に旧上野市役所に置く,
33,日本地震史料,〔聞集錄〕,J0400163,郡山　同刻、同斷御座候、町家怪我人數不知、死人凡八十許と申事に御座候。,,,郡山,,,嘉永7年6月15日,1854年7月9日,,人的被害,"34.64950518219235, 135.78285167566096",,,２,便宜的に大和郡山市役所に置く,
34,日本地震史料,〔聞集錄〕,J0400163,六月十七日寫、勢州神戸地震荒調書寫町方、一本家倒　三拾七軒、一半倒　六軒、一即死八人。,,,神戸,嘉永七年六月十七日,1854年7月11日,嘉永7年6月15日,1854年7月9日,伝聞,建物被害,"34.882708358007164, 136.58417327279784",,,３,三重県鈴鹿市役所に置く,
35,日本地震史料,〔聞集錄〕,J0400163,六月十七日寫、勢州神戸地震荒調書寫町方、一本家倒　三拾七軒、一半倒　六軒、一即死八人。,,,神戸,嘉永七年六月十七日,1854年7月11日,嘉永7年6月15日,1854年7月9日,伝聞,人的被害,"34.882708358007164, 136.58417327279784",,,３,三重県鈴鹿市役所に置く,
36,日本地震史料,〔聞集錄〕,J0400163,鄕方、一本家倒　百四拾四軒、一半倒　百三拾軒、一即死三拾六人。,,,神戸,嘉永七年六月十七日,1854年7月11日,嘉永7年6月15日,1854年7月9日,伝聞,建物被害,"34.882708358007164, 136.58417327279784",,,３,三重県鈴鹿市役所に置く,
37,日本地震史料,〔聞集錄〕,J0400163,鄕方、一本家倒　百四拾四軒、一半倒　百三拾軒、一即死三拾六人。,,,神戸,嘉永七年六月十七日,1854年7月11日,嘉永7年6月15日,1854年7月9日,伝聞,人的被害,"34.882708358007164, 136.58417327279784",,,３,三重県鈴鹿市役所に置く,
38,日本地震史料,〔聞集錄〕,J0400163,町方寺院、一本堂 八ケ寺、一即死 貳人。,,,神戸,嘉永七年六月十七日,1854年7月11日,嘉永7年6月15日,1854年7月9日,伝聞,人的被害,"34.882708358007164, 136.58417327279784",,,３,三重県鈴鹿市役所に置く,
39,日本地震史料,〔聞集錄〕,J0400163,鄕方寺院、一本堂　八ケ寺、一神社　三ケ所。,,,神戸,嘉永七年六月十七日,1854年7月11日,嘉永7年6月15日,1854年7月9日,伝聞,建物被害,"34.882708358007164, 136.58417327279784",,,３,三重県鈴鹿市役所に置く,
40,日本地震史料,〔聞集錄〕,J0400163,御朱印貳十石龍光寺、當春、新規本堂建替、貳百疊敷之本堂倒れ、粉味じん相成、住居向も倒れ申候、扨々大變之儀に御座候。六月廿日　水口黑田にて承り寫、,水口墨田,,龍光寺,嘉永七年六月二十日,1854年7月14日,嘉永7年6月15日,1854年7月9日,伝聞,建物被害,,,,,,
41,日本地震史料,〔御城書〕,J0400164,藤堂和泉守○伊勢津城主、領分地震に而、城内住居向、其外及大破、家中町鄕共、悉破損に付、拜借金被相願、可（爲カ）及難儀と被思召候。,,,津,安政元年十月六日,1854年11月25日,嘉永7年6月15日,1854年7月9日,伝聞,建物被害,"34.718859190414214, 136.5054971763704",,,２,便宜的に津市役所に置く,
42,日本地震史料,〔御城書〕,J0400164,松平越中守○伊勢桑名城主、名代松平壹岐守領分地震に而、居城破損、其上領内川々堤損所等も不少候付、,,,桑名,安政元年十月六日,1854年11月25日,嘉永7年6月15日,1854年7月9日,伝聞,建物被害,"35.062438598532204, 136.6836501179431",,,２,便宜的に桑名市役所に置く,
43,日本地震史料,〔御城書〕,J0400164,土方備中守○伊勢薦野邑主、名代土方大次郞領分地震に而、陣屋向破損、其外山堤崩、潰家等も不少、,,,三重県三重郡菰野町菰野,安政元年十一月七日,1854年12月26日,嘉永7年6月15日,1854年7月9日,伝聞,建物被害,"35.02066021232621, 136.50744083139176",,,２,便宜的に菰野町役場に置く,
44,日本地震史料,〔大坂地震記〕,J0400165,嘉永七甲寅年○安政元年六月十三日午之時と未の時に地震二度強けれども、二ゆりにて鎭りたり、,,,,,,嘉永7年6月13日,1854年7月7日,体験,前震,,,,,,前震か？
45,日本地震史料,〔大坂地震記〕,J0400165,けふより六月なればなどいひあへりしに、其夜子之刻過る頃、戌亥の方よりとも、辰巳よりともさだかならねど、ドヲウ〳〵と響き渡りて、大なるなゐ震ひ出たり。,,,,,,嘉永7年6月15日,1854年7月9日,体験,地震動,,,,,,
46,日本地震史料,〔大坂地震記〕,J0400165,漸く明がた近くなりて、少し穩しく成ぬるにぞ、人々生出たる心地せしに、又強く震ひなどして、朝の五ツ時迄に、およそ三十五六度に及べり。,,,,,,嘉永7年6月15日,1854年7月9日,体験,余震,,,,,,
47,日本地震史料,〔大坂地震記〕,J0400165,あくる十五日も、きのふに替らず空晴たりしかど、猶ふるひやまずして、暮る〻まで長短強弱はあれど、十五六度に及びぬ。,,,,,,嘉永7年6月15日,1854年7月9日,体験,余震,,,,,,
48,日本地震史料,〔大坂地震記〕,J0400165,家每のぬり籠の壁に、ひゞき（れカ）の入らざるはなく軒の妻のくだけたるも有、燈籠（石脱カ）は家每に皆倒れたりとぞ。,,,,,,嘉永7年6月15日,1854年7月9日,体験,建物被害,,,,,,
49,日本地震史料,〔大坂地震記〕,J0400165,家每のぬり籠の壁に、ひゞき（れカ）の入らざるはなく軒の妻のくだけたるも有、燈籠（石脱カ）は家每に皆倒れたりとぞ。,,,,,,嘉永7年6月15日,1854年7月9日,体験,石造物倒壊,,,,,,
50,日本地震史料,〔大坂地震記〕,J0400165,西橫堀なる瀨戸物店、店物大かた打破たり。はし〳〵には倒れ傾し家もありといへば、怪我せし人もなきには非るべし。,,,,,,嘉永7年6月15日,1854年7月9日,体験,建物被害,,,,,,
51,日本地震史料,〔大坂地震記〕,J0400165,西橫堀なる瀨戸物店、店物大かた打破たり。はし〳〵には倒れ傾し家もありといへば、怪我せし人もなきには非るべし。,,,,,,嘉永7年6月15日,1854年7月9日,体験,人的被害,,,,,,
52,日本地震史料,〔大坂地震記〕,J0400165,十五日の暮ちかく成ての三度は、餘裡強かりしかど、,,,,,,嘉永7年6月15日,1854年7月9日,体験,余震,,,,,,
53,日本地震史料,〔大坂地震記〕,J0400165,同じ時過る頃より、又震出て、明はなるゝ迄に十度餘りに及びぬ。,,,,,,嘉永7年6月15日,1854年7月9日,体験,余震,,,,,,
54,日本地震史料,〔大坂地震記〕,J0400165,十六日、陰晴不定。朝より暮るゝ迄に、大小はあれ共七度許震ふ。其内朝之二度強くして、隣家の塀の土落たり。,,,,嘉永七年六月十六日,1854年7月10日,嘉永7年6月16日,1854年7月10日,体験,余震,,,,,,
55,日本地震史料,〔大坂地震記〕,J0400165,十六日、陰晴不定。朝より暮るゝ迄に、大小はあれ共七度許震ふ。其内朝之二度強くして、隣家の塀の土落たり。,,,,嘉永七年六月十六日,1854年7月10日,嘉永7年6月16日,1854年7月10日,体験,建物被害,,,,,,
56,日本地震史料,〔大坂地震記〕,J0400165,十七日、（中略）晝の中六度許、夜に入て二度許は至而輕かりし。,,,,嘉永七年六月十七日,1854年7月11日,嘉永7年6月17日,1854年7月11日,体験,余震,,,,,,
57,日本地震史料,〔大坂地震記〕,J0400165,十八日、（中略）暮方迄に四度許震ふ。夜丑之刻過る頃の一度は強かりき。,,,,嘉永七年六月十八日,1854年7月12日,嘉永7年6月18日,1854年7月12日,体験,余震,,,,,,
58,日本地震史料,〔大坂地震記〕,J0400165,十九日、（中略）晝の内二度許震ひし由なれどしらず。夜中四度許強く震ひぬ。,,,,嘉永七年六月十九日,1854年7月13日,嘉永7年6月19日,1854年7月13日,体験,余震,,,,,,
59,日本地震史料,〔大坂地震記〕,J0400165,廿日、（中略）夜中二度至而輕し,,,,嘉永七年六月二十日,1854年7月14日,嘉永7年6月20日,1854年7月14日,体験,余震,,,,,,
60,日本地震史料,〔大坂地震記〕,J0400165,廿一日、（中略）晝四ツ時ごろ二度、至て輕し。,,,,嘉永七年六月二十一日,1854年7月15日,嘉永7年6月21日,1854年7月15日,体験,余震,,,,,,
61,日本地震史料,〔大坂地震記〕,J0400165,六ツ半時、思ひがけず震ひ出たり。過し十四日のにもいたく劣らず、ながく震ひしにぞ、,,,,嘉永七年六月二十一日,1854年7月15日,嘉永7年6月21日,1854年7月15日,体験,余震,,,,,,
62,日本地震史料,〔大坂地震記〕,J0400165,夜四ツ時過少し、八ツ時前後二度は強く、七ツ時頃一度、明六ツ時頃一度、すべて今夜五度に及ぶ。,,,,嘉永七年六月二十一日,1854年7月15日,嘉永7年6月21日,1854年7月15日,体験,余震,,,,,,
63,日本地震史料,〔大坂地震記〕,J0400165,廿二日、（中略）夜七ツ時過いさ〻か震ひし。,,,,嘉永七年六月二十二日,1854年7月16日,嘉永7年6月22日,1854年7月16日,体験,余震,,,,,,
64,日本地震史料,〔大坂地震記〕,J0400165,廿三日、（中略）未の刻頃少く震ひ、程なく強くふるひたるに、また胸さわぐ。,,,,嘉永七年六月二十三日,1854年7月17日,嘉永7年6月23日,1854年7月17日,体験,余震,,,,,,
65,日本地震史料,〔大坂地震記〕,J0400165,河州金剛山、先頃ゟ山鳴たへず、,,,金剛山,嘉永七年六月二十三日,1854年7月17日,嘉永7年6月23日,1854年7月17日,体験,余震,"34.419702712495855, 135.67289869351055",,,３,,
66,日本地震史料,〔大坂地震記〕,J0400165,廿四日、（中略）明六ツ半時ごろ一ゆすりしたるに驚きて、雨戸引置て臥ぬ、,,,,嘉永七年六月二十四日,1854年7月18日,嘉永7年6月24日,1854年7月18日,体験,余震,,,,,,
67,日本地震史料,〔大坂地震記〕,J0400165,朝四ツ時すこしく、九ツ時過震ひしかど、強からず。,,,,嘉永七年六月二十四日,1854年7月18日,嘉永7年6月24日,1854年7月18日,体験,余震,,,,,,
68,日本地震史料,〔大坂地震記〕,J0400165,廿六日、（中略）けふも震ひしかはしらねども、それとおもひしはなし。總而廿四日よりこなたは震ひしと云人あれど、,,,,嘉永七年六月二十六日,1854年7月20日,嘉永7年6月24日,1854年7月18日,伝聞,余震,,,,,,
69,日本地震史料,〔大坂地震記〕,J0400165,嘉永七年六月廿五日一籠屋町通大目橋筋西江入人家、兩隣は恙なく、中なる一軒十四日夜潰れたり。,,,,嘉永七年六月二十五日,1854年7月19日,嘉永7年6月15日,1854年7月9日,体験,建物被害,,,,,,
70,日本地震史料,〔大坂地震記〕,J0400165,大川町吉田藏屋敷、其外中之島邊屋鋪々々の藏、大體鉢卷を落したり。其内にも吉田屋敷は破損夥し。,,,大川町,嘉永七年六月二十五日,1854年7月19日,嘉永7年6月15日,1854年7月9日,,建物被害,"34.69277497014454, 135.4990142777164",,,３,大坂中央区の大川町について記述された旧町名継承碑に置く,
71,日本地震史料,〔大坂地震記〕,J0400165,大川町吉田藏屋敷、其外中之島邊屋鋪々々の藏、大體鉢卷を落したり。其内にも吉田屋敷は破損夥し。,,,大川町,嘉永七年六月二十五日,1854年7月19日,嘉永7年6月15日,1854年7月9日,,建物被害,,,,,,
72,日本地震史料,〔大坂地震記〕,J0400165,天滿天神、座摩御靈とも、石鳥井之笠木の繼目、少々開きたり。,,,天満天神,嘉永七年六月二十五日,1854年7月19日,嘉永7年6月15日,1854年7月9日,,石造物倒壊,"34.696145606507685, 135.5126609869523",,,３,大阪天満宮,
73,日本地震史料,〔大坂地震記〕,J0400165,青田氏之塾なる三太郞子、河州草香村にて止宿十四日、其夜地震に付、雨戸を明んとすれ共あかず、,,,日下町,嘉永七年六月二十五日,1854年7月19日,嘉永7年6月15日,1854年7月9日,伝聞,地震動,"34.69525178106368,135.65267202701625",,,２,便宜的に東大阪市立日新高校に置く,
74,日本地震史料,〔大坂地震記〕,J0400165,十五日歸宅之途中、崩家、死人、怪我人あまた三十餘人見たりしより、,,,,嘉永七年六月二十五日,1854年7月19日,嘉永7年6月15日,1854年7月9日,伝聞,建物被害,,,,,,
75,日本地震史料,〔大坂地震記〕,J0400165,十五日歸宅之途中、崩家、死人、怪我人あまた三十餘人見たりしより、,,,,嘉永七年六月二十五日,1854年7月19日,嘉永7年6月15日,1854年7月9日,伝聞,人的被害,,,,,,
76,日本地震史料,〔大坂地震記〕,J0400165,津村御坊の内法話所崩れ、其音強く、且濱側之材木震ひうごき、西側は瀨戸物店之もの打割音、川水不流して浪立、,,,津村御坊,嘉永七年六月二十五日,1854年7月19日,嘉永7年6月15日,1854年7月9日,伝聞,建物被害,"34.68520406815927, 135.49977129255458",,,３,本願寺津村別院,
77,日本地震史料,〔大坂地震記〕,J0400165,津村御坊の内法話所崩れ、其音強く、且濱側之材木震ひうごき、西側は瀨戸物店之もの打割音、川水不流して浪立、,,,津村御坊,嘉永七年六月二十五日,1854年7月19日,嘉永7年6月15日,1854年7月9日,伝聞,その他,"34.68520406815927, 135.49977129255458",,,３,本願寺津村別院,
78,日本地震史料,〔大坂地震記〕,J0400165,津村御坊法話所崩れに而、長屋之前へ響き渡りて倒れ候付,,,津村御坊,嘉永七年六月二十五日,1854年7月19日,嘉永7年6月15日,1854年7月9日,,建物被害,"34.68520406815927, 135.49977129255458",,,３,本願寺津村別院,
79,日本地震史料,〔大坂地震記〕,J0400165,本家北野別莊、石燈籠廿四五基倒れ候由。,,,,嘉永七年六月二十五日,1854年7月19日,嘉永7年6月15日,1854年7月9日,,石造物倒壊,,,,,,
80,日本地震史料,〔大坂地震記〕,J0400165,此方岡村居宅、壁廻り少々宛ひ♠き（れカ）入候由、近村も同樣也。,,,,嘉永七年六月二十五日,1854年7月19日,嘉永7年6月15日,1854年7月9日,,建物被害,,,,,,
81,日本地震史料,〔大坂地震記〕,J0400165,田畑少々われ候而、其所より泥水出申候、勝山之西なる田は、清水湧上り、甚清冷なりしが、,,,,嘉永七年六月二十五日,1854年7月19日,嘉永7年6月15日,1854年7月9日,,液状化,,,,,,
82,日本地震史料,〔大坂地震記〕,J0400165,田畑少々われ候而、其所より泥水出申候、勝山之西なる田は、清水湧上り、甚清冷なりしが、,,,,嘉永七年六月二十五日,1854年7月19日,嘉永7年6月15日,1854年7月9日,,液状化,,,,,,
83,日本地震史料,〔大坂地震記〕,J0400165,畑之井戸、岡村邊は無恙、一里許東にては、皆々崩れ候由。,,,,嘉永七年六月二十五日,1854年7月19日,嘉永7年6月15日,1854年7月9日,,地下水,,,,,,
84,日本地震史料,〔大坂地震記〕,J0400165,河川八尾、久寳寺、國分邊強く震ひ、中にも國分村、人家餘程潰候由。,,,八尾,嘉永七年六月二十五日,1854年7月19日,嘉永7年6月15日,1854年7月9日,,地震動,"34.627032773306546, 135.6008620463098",,,２,便宜的に八尾市役所に置く,
85,日本地震史料,〔大坂地震記〕,J0400165,河川八尾、久寳寺、國分邊強く震ひ、中にも國分村、人家餘程潰候由。,,,久寳寺,嘉永七年六月二十五日,1854年7月19日,嘉永7年6月15日,1854年7月9日,,地震動,"34.627869074648856, 135.58785845527677",,,２,久宝寺寺内町史跡に置く,
86,日本地震史料,〔大坂地震記〕,J0400165,河川八尾、久寳寺、國分邊強く震ひ、中にも國分村、人家餘程潰候由。,,,國分村,嘉永七年六月二十五日,1854年7月19日,嘉永7年6月15日,1854年7月9日,,建物被害,"34.567534411983374, 135.65759400635935",,,３,河内国分寺跡に置く,
87,日本地震史料,〔大坂地震記〕,J0400165,同松原村別而甚敷、潰家數々、怪我人も有之。路上裂け割れ、泥水出申候由。,,,松原村,嘉永七年六月二十五日,1854年7月19日,嘉永7年6月15日,1854年7月9日,,建物被害,"34.57799591610359, 135.5517975718132",,,２,便宜的に松原市役所に置く,
88,日本地震史料,〔大坂地震記〕,J0400165,同松原村別而甚敷、潰家數々、怪我人も有之。路上裂け割れ、泥水出申候由。,,,松原村,嘉永七年六月二十五日,1854年7月19日,嘉永7年6月15日,1854年7月9日,,人的被害,"34.57799591610359, 135.5517975718132",,,２,便宜的に松原市役所に置く,
89,日本地震史料,〔大坂地震記〕,J0400165,同松原村別而甚敷、潰家數々、怪我人も有之。路上裂け割れ、泥水出申候由。,,,松原村,嘉永七年六月二十五日,1854年7月19日,嘉永7年6月15日,1854年7月9日,,液状化,"34.57799591610359, 135.5517975718132",,,２,便宜的に松原市役所に置く,
90,日本地震史料,〔大坂地震記〕,J0400165,攝州能條村、長柄より一里北東なり、同樣之地震に而、行燈倒れ、損家有之由。,,,攝州能條村,嘉永七年六月二十五日,1854年7月19日,嘉永7年6月15日,1854年7月9日,,石造物倒壊,"34.74233374955497, 135.54665628992944",,,２,便宜的に大阪市東淀川区能條公園に置く,
91,日本地震史料,〔大坂地震記〕,J0400165,攝州能條村、長柄より一里北東なり、同樣之地震に而、行燈倒れ、損家有之由。,,,攝州能條村,嘉永七年六月二十五日,1854年7月19日,嘉永7年6月15日,1854年7月9日,,建物被害,"34.74233374955497, 135.54665628992944",,,２,便宜的に大阪市東淀川区能條公園に置く,
92,日本地震史料,〔大坂地震記〕,J0400165,同有馬郡結場村、大坂同樣、櫻井谷、多田村、池田、伊丹同樣之事。,,,有馬郡結場村,嘉永七年六月二十五日,1854年7月19日,嘉永7年6月15日,1854年7月9日,,全般,,,,,,
93,日本地震史料,〔大坂地震記〕,J0400165,同有馬郡結場村、大坂同樣、櫻井谷、多田村、池田、伊丹同樣之事。,,,櫻井谷,嘉永七年六月二十五日,1854年7月19日,嘉永7年6月15日,1854年7月9日,,全般,,,,,,
94,日本地震史料,〔大坂地震記〕,J0400165,同有馬郡結場村、大坂同樣、櫻井谷、多田村、池田、伊丹同樣之事。,,,多田村,嘉永七年六月二十五日,1854年7月19日,嘉永7年6月15日,1854年7月9日,,全般,,,,,,
95,日本地震史料,〔大坂地震記〕,J0400165,同有馬郡結場村、大坂同樣、櫻井谷、多田村、池田、伊丹同樣之事。,,,池田,嘉永七年六月二十五日,1854年7月19日,嘉永7年6月15日,1854年7月9日,,全般,,,,,,
96,日本地震史料,〔大坂地震記〕,J0400165,同有馬郡結場村、大坂同樣、櫻井谷、多田村、池田、伊丹同樣之事。,,,伊丹,嘉永七年六月二十五日,1854年7月19日,嘉永7年6月15日,1854年7月9日,,全般,"34.78447607031964, 135.40083246194914",,,２,便宜的に兵庫県伊丹市役所に置く,
